image_name, image_url, xmin, xmax, ymin, ymax
Frl1FCa6v4X6z21I0es70w_zoom_5___1_6.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/trainingset/Frl1FCa6v4X6z21I0es70w_zoom_5___1_6.jpg,59,109,300,357
Frl1FCa6v4X6z21I0es70w_zoom_5___1_6.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/trainingset/Frl1FCa6v4X6z21I0es70w_zoom_5___1_6.jpg,53,101,257,309
FGmto9ZBGMNr_s4_c89G_g_zoom_5___1_11.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/trainingset/FGmto9ZBGMNr_s4_c89G_g_zoom_5___1_11.jpg,710,826,295,433
1Qn5_JRh_Bb8axrWdUej8A_zoom_5___1_9.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/trainingset/1Qn5_JRh_Bb8axrWdUej8A_zoom_5___1_9.jpg,347,389,218,317
1Qn5_JRh_Bb8axrWdUej8A_zoom_5___1_9.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/trainingset/1Qn5_JRh_Bb8axrWdUej8A_zoom_5___1_9.jpg,342,381,316,425
lgdqVR_6rJEzMGS7C6EgfA_zoom_5___1_2.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/trainingset/lgdqVR_6rJEzMGS7C6EgfA_zoom_5___1_2.jpg,276,327,210,289
lgdqVR_6rJEzMGS7C6EgfA_zoom_5___1_2.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/trainingset/lgdqVR_6rJEzMGS7C6EgfA_zoom_5___1_2.jpg,264,317,283,347
RJCyY8KxrRpuk0XoNlVDug_zoom_5___1_8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/trainingset/RJCyY8KxrRpuk0XoNlVDug_zoom_5___1_8.jpg,394,496,100,247
54hwhyx7XzMi0jMQfj0lfg_zoom_5___1_0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/trainingset/54hwhyx7XzMi0jMQfj0lfg_zoom_5___1_0.jpg,472,508,309,352
fFIe4rNoNM5_VGcGG5Z_lg_zoom_5___1_10.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/trainingset/fFIe4rNoNM5_VGcGG5Z_lg_zoom_5___1_10.jpg,802,918,230,457
fFIe4rNoNM5_VGcGG5Z_lg_zoom_5___1_10.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/trainingset/fFIe4rNoNM5_VGcGG5Z_lg_zoom_5___1_10.jpg,811,907,29,228
VqRNUjjOI2WJT-J35KzHFQ_zoom_5___1_12.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/trainingset/VqRNUjjOI2WJT-J35KzHFQ_zoom_5___1_12.jpg,690,744,236,292
