image_name, image_url, xmin, xmax, ymin, ymax
-6FfTsrpL_A539x8evU5vQ_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-6FfTsrpL_A539x8evU5vQ_zoom_5___1_7.jpg,207,238,284,317
-6FfTsrpL_A539x8evU5vQ_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-6FfTsrpL_A539x8evU5vQ_zoom_5___1_7.jpg,207,241,314,351
-s-8pLc2KnYslk1lc9Exng_zoom_5___1_6.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-s-8pLc2KnYslk1lc9Exng_zoom_5___1_6.jpg,348,367,325,347
-s-8pLc2KnYslk1lc9Exng_zoom_5___1_6.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-s-8pLc2KnYslk1lc9Exng_zoom_5___1_6.jpg,348,366,304,325
0-afYYuRFAq0i4SzTIubHA_zoom_5___1_1.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0-afYYuRFAq0i4SzTIubHA_zoom_5___1_1.jpg,126,190,372,441
0SmnBSc0aiWAQR8u6As5aA_zoom_5___1_0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0SmnBSc0aiWAQR8u6As5aA_zoom_5___1_0.jpg,696,723,388,420
0SmnBSc0aiWAQR8u6As5aA_zoom_5___1_0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0SmnBSc0aiWAQR8u6As5aA_zoom_5___1_0.jpg,694,722,423,450
0SmnBSc0aiWAQR8u6As5aA_zoom_5___1_0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0SmnBSc0aiWAQR8u6As5aA_zoom_5___1_0.jpg,694,720,451,482
-BMmx-XFW8bqKsIDr2N33Q_zoom_5___1_5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-BMmx-XFW8bqKsIDr2N33Q_zoom_5___1_5.jpg,802,837,342,382
-sN_1I9Ffb7zN6jtRXZRKw_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-sN_1I9Ffb7zN6jtRXZRKw_zoom_5___1_7.jpg,542,636,193,292
-sN_1I9Ffb7zN6jtRXZRKw_zoom_5___1_7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-sN_1I9Ffb7zN6jtRXZRKw_zoom_5___1_7.jpg,529,625,282,395
1K894nRwaijSvPwAB4gF1g_zoom_5___1_8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/1K894nRwaijSvPwAB4gF1g_zoom_5___1_8.jpg,42,158,552,699
1K894nRwaijSvPwAB4gF1g_zoom_5___1_8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/1K894nRwaijSvPwAB4gF1g_zoom_5___1_8.jpg,45,161,678,843
0JnBTuk6MLXEKFUxvlwpRw_zoom_5___1_8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0JnBTuk6MLXEKFUxvlwpRw_zoom_5___1_8.jpg,586,673,276,430
0JnBTuk6MLXEKFUxvlwpRw_zoom_5___1_8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/0JnBTuk6MLXEKFUxvlwpRw_zoom_5___1_8.jpg,584,661,157,279
-K4k55AAmhTHLKN9ais4lg_zoom_5___1_4.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/ParkingSign-StreetView/validationset/-K4k55AAmhTHLKN9ais4lg_zoom_5___1_4.jpg,816,859,430,493
